timestamp,src_ip,dst_ip,src_port,dst_port,seq,ack,payload_len,inter_arrival_time,jitter,retransmission_rate,duplicate_ack_count,rtt_estimate,retransmission,lost_segment,duplicate_ack,packet_lost
1771738538.2096,10.0.0.1,10.0.0.2,57098,5001,560437,29,1448,1.9073486328125e-06,0.021965078527876738,0.2,0.0,0.014236927032470703,0,0,0,0
1771738538.249722,10.0.0.1,10.0.0.2,57098,5001,561885,29,1448,0.040122032165527344,0.021968452908577824,0.1,0.0,0.014236927032470703,0,0,0,0
1771738538.249726,10.0.0.1,10.0.0.2,57098,5001,563333,29,1448,4.0531158447265625e-06,0.0219670598194971,0.0,0.0,0.014236927032470703,0,0,0,0
1771738538.289824,10.0.0.1,10.0.0.2,57098,5001,564781,29,1448,0.040097951889038086,0.02196514504313698,0.0,0.0,0.014236927032470703,0,0,0,0
1771738538.289829,10.0.0.1,10.0.0.2,57098,5001,566229,29,1448,5.0067901611328125e-06,0.02196714675559479,0.0,0.0,0.014236927032470703,0,0,0,0
1771738538.290963,10.0.0.1,10.0.0.2,57098,5001,567677,29,1448,0.0011339187622070312,0.02176535482963116,0.0,0.0,0.014236927032470703,0,0,0,0
1771738538.329947,10.0.0.1,10.0.0.2,57098,5001,569125,29,2896,0.038984060287475586,0.021457391991125493,0.0,0.0,0.014236927032470703,0,0,0,0
1771738538.331091,10.0.0.1,10.0.0.2,57098,5001,572021,29,2896,0.0011439323425292969,0.021249403896813027,0.0,0.0,0.014236927032470703,0,0,0,0
1771738538.370102,10.0.0.1,10.0.0.2,57098,5001,574917,29,2896,0.03901100158691406,0.020948154446447504,0.0,0.0,0.014236927032470703,0,0,0,0
1771738538.37135,10.0.0.1,10.0.0.2,57098,5001,577813,29,2896,0.0012481212615966797,0.02071612630431893,0.0,0.0,0.014236927032470703,0,0,0,0
1771738538.4103,10.0.0.1,10.0.0.2,57098,5001,580709,29,2896,0.03894996643066406,0.020696096554859565,0.0,0.0,0.014236927032470703,0,0,0,0
1771738538.411444,10.0.0.1,10.0.0.2,57098,5001,583605,29,1448,0.0011439323425292969,0.020704965574524895,0.0,0.0,0.014236927032470703,0,0,0,0
1771738538.412655,10.0.0.1,10.0.0.2,57098,5001,585053,29,2896,0.0012111663818359375,0.02069268040107153,0.0,0.0,0.014236927032470703,0,0,0,0
